NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,ABS_NES,NOM p-val,FDR,FWER p-val
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,Details ...,60,0.5401143,1.8550301,1.8550301,0,0.014183447,0.018
KEGG_ECM_RECEPTOR_INTERACTION,KEGG_ECM_RECEPTOR_INTERACTION,Details ...,42,0.57241607,1.8434016,1.8434016,0,0.00825834,0.021
KEGG_NOTCH_SIGNALING_PATHWAY,KEGG_NOTCH_SIGNALING_PATHWAY,Details ...,41,0.54836154,1.7456083,1.7456083,0.001102536,0.03287392,0.119
KEGG_FOCAL_ADHESION,KEGG_FOCAL_ADHESION,Details ...,129,0.45591298,1.6822321,1.6822321,0,0.054461237,0.252
KEGG_INOSITOL_PHOSPHATE_METABOLISM,KEGG_INOSITOL_PHOSPHATE_METABOLISM,Details ...,47,0.49607795,1.6333765,1.6333765,0.005387931,0.08901289,0.433
KEGG_NON_SMALL_CELL_LUNG_CANCER,KEGG_NON_SMALL_CELL_LUNG_CANCER,Details ...,45,0.48676333,1.5941919,1.5941919,0.005555556,0.11941435,0.618
KEGG_ADHERENS_JUNCTION,KEGG_ADHERENS_JUNCTION,Details ...,64,0.46172616,1.5845819,1.5845819,0.00529661,0.11461032,0.661
KEGG_DORSO_VENTRAL_AXIS_FORMATION,KEGG_DORSO_VENTRAL_AXIS_FORMATION,Details ...,16,0.56750333,1.5309767,1.5309767,0.025766872,0.17761841,0.836
KEGG_ACUTE_MYELOID_LEUKEMIA,KEGG_ACUTE_MYELOID_LEUKEMIA,Details ...,46,0.45735377,1.5154748,1.5154748,0.00861141,0.18646619,0.888
KEGG_ENDOCYTOSIS,KEGG_ENDOCYTOSIS,Details ...,151,0.4054203,1.5075331,1.5075331,0.001010101,0.18202205,0.91
KEGG_TIGHT_JUNCTION,KEGG_TIGHT_JUNCTION,Details ...,90,0.4240301,1.5040206,1.5040206,0.001028807,0.17146695,0.917
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,Details ...,36,0.47495577,1.4967127,1.4967127,0.016778523,0.16891359,0.93
KEGG_ENDOMETRIAL_CANCER,KEGG_ENDOMETRIAL_CANCER,Details ...,43,0.460227,1.4681711,1.4681711,0.020652173,0.20743406,0.969
