ENS,Gene,SGPL1_Control.A,SGPL1_Control.B,SGPL1_Control.C,SGPL1_KO.A,SGPL1_KO.B,SGPL1_KO.C,SGPL1_OE.A,SGPL1_OE.B,SGPL1_OE.C
ENSG00000166535,A2ML1,574.5298695,542.0126868,530.6432622,398.0731855,433.5499996,378.989589,513.5978643,417.0009757,324.0049115
ENSG00000128274,A4GALT,198.0131989,223.5116388,229.339911,123.1199519,131.1520363,109.9037481,185.5072287,156.3637915,147.1808906
ENSG00000094914,AAAS,30.91156701,35.65933326,42.40786483,28.58707292,20.51787572,27.79303453,41.53128097,45.18305392,47.40174506
ENSG00000081760,AACS,19.68460387,20.72331146,19.57892922,13.89147916,13.41165713,11.21608209,19.47817665,21.12242274,19.9184502
ENSG00000109576,AADAT,8.199718139,8.128560477,8.823968038,6.906050362,3.939037527,7.341893302,8.739243463,9.773106196,8.546366553
ENSG00000158122,AAED1,11.9317696,9.740891146,16.32513539,12.33270111,16.44512689,10.9097501,9.139815629,8.670108664,11.960271
ENSG00000103591,AAGAB,72.93505763,82.40775078,70.77737737,85.04202266,80.43831649,83.12724734,74.58557809,74.54246874,71.07039975
ENSG00000115977,AAK1,17.31249251,17.37049129,20.95018718,7.900085599,9.418300088,7.811788659,14.51299071,14.50886873,10.92188556
ENSG00000087884,AAMDC,3.133448645,5.768761856,4.969263361,6.830573259,6.992211784,5.891841035,2.42881702,5.128251314,4.654870526
ENSG00000127837,AAMP,157.2962648,198.1243966,175.331614,148.3640622,139.5892914,139.7188731,198.0361199,198.5322596,194.7263501
ENSG00000131043,AAR2,60.58279795,74.0981741,63.01336669,62.51169664,61.57914072,61.87930453,63.00371714,66.63936919,59.55533285
ENSG00000090861,AARS,55.88741271,65.58266522,62.54162728,45.40568757,40.76555674,29.57605203,109.23031,125.2161083,108.0986307
ENSG00000124608,AARS2,21.9844803,32.2382244,34.20685214,15.95814227,16.99025356,12.68724542,28.35836156,24.95882816,24.43353003
ENSG00000157426,AASDH,16.1654229,15.28409149,13.23804763,17.19660484,14.43372734,12.18180062,21.49696157,15.35931438,14.9827052
ENSG00000149313,AASDHPPT,28.39782444,30.52127348,29.02795135,36.31173142,30.17572879,35.68853607,35.53347567,32.04268433,28.7721341
ENSG00000008311,AASS,8.222481462,9.315572867,7.037375154,3.500330236,3.737608605,1.636061157,10.62242978,11.63676616,7.749202152
ENSG00000215458,AATBC,2.141376652,2.122793653,3.018630623,1.567776284,1.006567031,0.894765002,1.355533044,1.422160861,0.598595142
ENSG00000275700,AATF,51.04068656,56.36440791,55.74836016,42.60374415,40.05901239,38.10656465,70.35515223,78.04606325,67.73002646
ENSG00000181409,AATK,2.04617366,3.17349086,2.442457492,0.732505197,1.374705168,1.034255858,4.476731682,2.860335467,2.590526434
ENSG00000281376,ABALON,4.113401131,3.624626472,5.315319962,1.690702571,2.37972806,2.291689239,2.975843281,5.6913525,2.91295332
ENSG00000183044,ABAT,38.05685393,39.4575791,37.96352226,22.1107708,24.32236594,19.02614649,23.90448063,21.32007717,15.76974342
ENSG00000165029,ABCA1,10.0380199,11.48181848,14.89860969,7.35513406,11.3577402,6.339911281,7.918387676,9.346045615,7.563258116
ENSG00000144452,ABCA12,101.4594496,107.574217,106.6942396,69.44164249,70.10713354,63.10962117,80.84572863,75.20842319,56.41492101
ENSG00000107331,ABCA2,24.90523522,28.28569812,27.60968516,15.09863366,14.20072957,13.21741776,28.13387806,22.5893327,17.97640461
ENSG00000154265,ABCA5,8.857522379,10.1239656,9.853822757,9.6280134,8.948486469,9.073163969,6.025415465,7.342251312,6.984565335
ENSG00000064687,ABCA7,33.55329499,40.00443852,44.87014549,26.66915399,28.29110257,23.87206158,34.19703964,29.22500904,25.82631904
ENSG00000135776,ABCB10,29.44698115,39.29228217,35.87280549,34.20568001,36.51829686,31.67610667,35.93573636,50.44826591,39.30629836
ENSG00000131269,ABCB7,21.6466073,20.8157977,19.11444154,23.16784957,28.77527035,25.71202482,21.99474026,21.32207282,21.37580572
ENSG00000197150,ABCB8,30.18432784,32.73915422,32.79887186,24.6836735,28.98298996,27.56041052,28.71144767,28.02788714,28.90677234
ENSG00000150967,ABCB9,2.944775544,4.151780409,4.600865135,2.874630053,2.725828003,1.640615688,2.663000228,2.998778814,2.260988113
ENSG00000103222,ABCC1,43.28685716,52.98453257,55.35511039,28.29831563,28.79586143,25.90743339,57.81398923,61.13773323,46.21865695
ENSG00000124574,ABCC10,47.21439392,50.42962711,55.60283453,36.35347643,38.6391681,28.51395441,47.50119768,42.32080429,33.65990711
ENSG00000023839,ABCC2,24.19379457,25.08401544,25.7549193,28.73784477,29.18150264,24.27616647,8.309919904,8.347210488,6.924394614
ENSG00000108846,ABCC3,2.985121368,3.945621734,4.303667801,8.030969091,8.752667856,7.143742359,6.429683646,4.370556211,5.704627263
ENSG00000125257,ABCC4,2.469465467,5.195830009,4.848712607,1.771083928,4.023576215,3.600965109,4.593951599,5.120990466,4.868786553
ENSG00000114770,ABCC5,34.09381579,38.91884868,39.24170008,20.52459366,23.44337501,18.99460526,29.48197047,23.71019955,22.18007523
ENSG00000101986,ABCD1,4.001943943,4.374108653,5.42443578,2.18264396,4.096205658,2.958498888,5.901773193,2.964499013,2.684864466
ENSG00000117528,ABCD3,49.70844806,51.41710804,52.67443893,62.41475354,63.39874301,62.31138216,44.20196321,48.72728579,46.84091826
ENSG00000119688,ABCD4,10.6745418,9.132331101,11.23413904,4.868302443,7.0638119,4.888012353,9.573791258,9.711404445,7.782756639
ENSG00000164163,ABCE1,75.72466298,76.92869784,76.82524139,66.30049986,68.00657654,78.36214971,88.21130202,102.1066132,98.34028036
ENSG00000204574,ABCF1,98.17639614,93.87251485,106.5582149,66.28387959,62.11411345,50.3183418,110.9471838,125.2654533,101.6211646
ENSG00000033050,ABCF2,12.4780788,12.36979326,14.79695218,10.76003696,8.633473162,9.934615025,15.18778178,16.29426056,14.76311089
ENSG00000161204,ABCF3,50.36131722,45.20506818,51.65517157,36.14716901,30.65756541,30.46561419,48.57857937,52.4164056,41.68732905
ENSG00000160179,ABCG1,10.15970281,9.367233044,9.689756216,13.00944667,11.96091005,13.35898328,10.79377235,11.32431308,11.05819688
ENSG00000118777,ABCG2,16.61261557,19.16188839,19.28724858,33.09587253,31.72945967,35.32385125,20.63909158,22.58156367,21.66551109
ENSG00000144827,ABHD10,29.74875315,23.50699333,22.63929324,27.64460734,34.04698012,36.93086365,26.82422118,28.06088812,27.3821868
ENSG00000106077,ABHD11,19.37856997,21.28211151,20.48801574,16.51574144,23.41140217,26.67330044,21.44149903,21.00832613,23.19766689
ENSG00000225969,ABHD11-AS1,5.255322156,1.302429036,4.167146617,0,1.140136581,0.82346764,7.128688021,0,0.881435867
ENSG00000100997,ABHD12,61.36254479,66.70129038,66.92864819,74.79627217,66.73120896,64.14075674,59.31915154,53.39151937,57.58242028
ENSG00000139826,ABHD13,17.35255347,16.63397746,16.3556387,14.76083106,19.6044264,10.97863859,17.14293156,18.75436157,15.97982009
ENSG00000248487,ABHD14A,1.463003897,0,2.126798547,3.044224446,2.380478605,3.209376824,2.579877591,1.45744576,2.208408283
ENSG00000114779,ABHD14B,36.3200784,40.09635534,35.78130132,56.10868727,45.36740877,45.70102122,43.14604033,33.30397273,35.90408124
ENSG00000168792,ABHD15,23.03906445,22.83913002,21.98810267,13.35979421,13.83313478,13.2693368,22.29858512,27.417781,26.15103097
ENSG00000129968,ABHD17A,43.21634931,53.95881347,49.69317777,36.66353648,44.63162778,39.66738845,58.52479566,61.98088539,45.6227035
ENSG00000107362,ABHD17B,40.63900976,38.54640024,40.68175268,42.07800979,35.50068863,33.67959638,29.59567454,25.01707231,29.70994387
ENSG00000136379,ABHD17C,26.78944022,31.43962953,33.53056537,26.66359386,25.64551415,20.63082159,30.63563523,32.19274237,33.12470077
ENSG00000164074,ABHD18,10.24462644,10.09144621,8.089081684,4.257415694,4.782725913,4.38904446,6.825131543,8.461692791,7.264519222
ENSG00000140526,ABHD2,62.63140318,69.66688775,69.45947992,41.14433356,42.80630789,38.22663069,67.68486772,70.22491336,44.82969863
ENSG00000158201,ABHD3,19.75350426,20.77489931,18.76417023,16.32071797,15.3146868,16.34024097,17.51878779,16.78162933,14.32876941
ENSG00000100439,ABHD4,104.6057672,94.80051348,97.82931279,59.48645606,60.73398314,59.46933574,93.34027354,72.48814185,56.77399887
ENSG00000011198,ABHD5,25.66927567,27.33356112,28.84648608,27.41986991,25.7797297,29.14042151,25.35180455,22.23880702,20.66551469
ENSG00000163686,ABHD6,8.055554857,10.40554166,8.129620021,8.239921079,10.80361809,6.884956776,7.417196809,6.444278662,3.439158412
ENSG00000127220,ABHD8,32.3845251,37.08850419,34.8765629,34.04171367,27.23038505,21.43224982,30.12249874,24.04583269,28.60875008
ENSG00000136754,ABI1,105.2656104,105.9874015,111.1831864,97.25447878,101.906532,76.76873711,100.6939858,97.05982359,103.131131
ENSG00000138443,ABI2,5.325035614,5.66779065,5.866948549,4.941881846,5.512823665,5.504054167,7.258734892,5.751525562,6.30517301
ENSG00000097007,ABL1,47.15618243,60.9369021,57.12795014,21.37526375,21.72465433,23.61373833,64.08363452,64.38507547,48.97231553
ENSG00000143322,ABL2,6.592612549,9.247722209,9.614808357,3.590640855,3.821565114,4.14837428,10.03842634,12.09678235,8.111597232
ENSG00000099204,ABLIM1,76.46812211,87.47648586,87.04765099,57.90294814,52.19431821,44.9706214,82.52012061,80.92018499,64.21980965
ENSG00000163995,ABLIM2,2.516238518,1.781716032,1.444160747,0.930808768,1.497312779,1.17155935,2.57452998,1.360768605,1.543423492
ENSG00000173210,ABLIM3,46.58761261,49.46508306,49.06389775,20.42886447,19.22183483,18.33466372,64.01117841,49.10891227,39.81601359
ENSG00000159842,ABR,17.77868803,24.63253242,23.31066806,12.59024746,12.14824427,10.8360283,24.19221766,25.52078309,19.81663042
ENSG00000146386,ABRACL,185.8844886,161.1426602,159.7284035,308.7946685,307.6834547,323.1498499,147.3450283,137.5501289,195.5299184
ENSG00000163322,ABRAXAS1,3.106674239,4.087620834,3.702566691,5.798353295,6.274231284,6.79737829,3.677769687,4.782983367,2.804246023
ENSG00000165660,ABRAXAS2,42.53120661,36.91008961,46.98886747,44.36864126,39.84574787,34.86653948,45.0359389,51.60591026,38.20957369
ENSG00000146109,ABT1,37.08948523,35.1562904,37.18195449,43.72962273,60.65348403,63.34908853,37.52262331,40.03989284,45.20570983
ENSG00000114626,ABTB1,8.549183903,9.665695129,7.694044387,6.599474131,6.376614404,6.996866066,6.287143794,9.431722308,6.636188153
ENSG00000166016,ABTB2,16.51766975,17.15405832,17.64812274,9.294659468,9.404293774,10.5170851,13.08778985,16.8902323,15.65487492
ENSG00000235776,AC000089.1,13.57296843,15.60801039,10.33202644,19.07950464,31.566553,26.54218168,10.01576217,5.949417322,9.834447371
ENSG00000224138,AC000123.1,0,1.670945779,2.673111493,0,5.119566778,2.112928596,0,2.518754374,2.261668775
ENSG00000280347,AC000123.3,1.311189674,1.819735524,2.587679387,0.889233088,0.606850586,0.438299962,2.8457436,2.69949715,1.876616825
ENSG00000213683,AC002056.1,4.577662194,2.268968479,5.44470604,2.645893908,5.958713814,7.172836548,14.28176366,0,6.526104768
ENSG00000237813,AC002066.1,0.918756145,0.607188748,0.647570671,1.699334679,1.063056925,0.767796588,1.32934971,0.610177116,2.46553751
ENSG00000234695,AC002076.1,0,0.818034176,1.744877331,0.763142076,0.716100964,0,6.268375766,4.932361506,2.768076584
ENSG00000267698,AC002116.2,2.705305807,0.670457249,0.715046931,1.876403767,0.586913232,0.847800276,0.733933355,1.347514004,3.176184921
ENSG00000268947,AC002128.1,0.856058875,5.091779658,1.810138491,0,0,4.292406123,0.928974699,0,1.148642803
ENSG00000235560,AC002310.1,1.661651397,2.11786905,1.003875932,2.634339786,0.823985171,0.297563088,2.060782301,1.655338573,5.096161956
ENSG00000278922,AC002310.6,14.52751183,9.07916944,12.68805862,4.673067527,4.110949981,7.125955263,5.483446879,9.123853897,7.415711343
ENSG00000278993,AC002350.1,0.237898199,0.943334816,1.509108895,0.440017368,2.890258706,1.192856844,0.516322918,1.18497197,2.394053107
