"","ENS","Gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","ENSG00000166224","SGPL1",3625.36833055547,3.49932402773477,0.0903587867383613,0,0
"2","ENSG00000170477","KRT4",944.724247350751,-2.35567327457047,0.106125283182914,2.36372575856652e-110,1.6255342041662e-106
"3","ENSG00000152137","HSPB8",228.651389882864,-3.44457629699367,0.191172811049132,7.63024269533565e-75,3.49821193438822e-71
"4","ENSG00000147883","CDKN2B",1096.92287993683,-1.41011779057402,0.0872917897432764,4.44606562089292e-62,1.52877966374403e-58
"5","ENSG00000185432","METTL7A",1120.68790806388,-1.56096736290557,0.0986236408145402,1.59253774163025e-59,4.38075281967649e-56
"6","ENSG00000135069","PSAT1",1290.1246772747,1.71187216187262,0.114514104691708,5.84878787782755e-53,1.340737141194e-49
"7","ENSG00000151012","SLC7A11",359.278687056938,2.45963892036086,0.162946778476221,9.31889506285603e-53,1.83102975277888e-49
"8","ENSG00000100889","PCK2",677.664104774944,1.67203998110989,0.114393562923236,5.22860722432156e-51,8.98928297041484e-48
"9","ENSG00000137801","THBS1",4663.82002523088,1.43907925901424,0.0995438265373418,1.00087063338624e-50,1.52955274351048e-47
"10","ENSG00000101057","MYBL2",1132.28482786427,1.18725578655633,0.0865093418666493,1.81727217243011e-45,2.49947614596037e-42
"11","ENSG00000109610","SOD3",139.069396533175,-3.96080105513588,0.292802131983181,6.41502217950472e-45,8.0211104597189e-42
"12","ENSG00000113739","STC2",301.000784088073,2.4118809800734,0.180647108271979,6.3650330736486e-42,7.2953887412469e-39
"13","ENSG00000165272","AQP3",2470.58475554486,-1.0973449614534,0.0848823491752778,2.3365426766618e-40,2.47206215190819e-37
"14","ENSG00000023839","ABCC2",383.35919648329,-1.69459767179233,0.13286466268893,8.30293811831951e-40,8.15704363424047e-37
"15","ENSG00000165474","GJB2",471.408632219078,1.83550327296357,0.151295945169865,7.48040781914934e-36,6.85903527630534e-33
"16","ENSG00000149485","FADS1",410.165946618671,-1.48646941590878,0.127631584624226,1.31435519085956e-34,1.12985258094265e-31
"17","ENSG00000123983","ACSL3",3633.64341647201,0.720048033926123,0.0615642288447162,1.77713051394333e-32,1.43780312286921e-29
"18","ENSG00000049130","KITLG",1805.06952448298,-0.970319582703803,0.0841066506028193,2.49923254341535e-32,1.90969135567415e-29
"19","ENSG00000142973","CYP4B1",296.858563849088,-2.01590250502704,0.177210896739396,1.72081349230412e-31,1.24568783016583e-28
"20","ENSG00000135925","WNT10A",392.2506066319,-1.58138177957267,0.146949589999547,5.04050793936535e-30,3.46635730990155e-27
"21","ENSG00000138347","MYPN",293.595025269434,-1.84944364514601,0.169256338765791,8.82538360669062e-30,5.78020600602013e-27
"22","ENSG00000125730","C3",624.137337826395,-1.38631552709639,0.131405486552599,2.86780244915905e-29,1.79289794935153e-26
"23","ENSG00000135821","GLUL",23708.4462669392,-1.03634288813608,0.0974834727726212,3.13533416881122e-28,1.87492983294911e-25
"24","ENSG00000183696","UPP1",1213.75457127356,1.43804540417569,0.139453919978968,3.37550447212448e-28,1.93444535456667e-25
"25","ENSG00000106105","GARS",1866.91706670622,0.88152699444268,0.0822643302532117,5.16775147763483e-28,2.84309015293558e-25
"26","ENSG00000168003","SLC3A2",5668.97078197288,0.835022609253233,0.0790994653769368,3.86451325573634e-27,2.04432751228453e-24
"27","ENSG00000166986","MARS",1728.65460243891,0.909387202363959,0.0882211279277608,3.13060759257192e-26,1.59475469734201e-23
"28","ENSG00000104368","PLAT",243.006521278725,1.71660493627956,0.172320687460546,6.54939551501609e-26,3.21715663976898e-23
"29","ENSG00000196230","TUBB",6119.66939857981,0.864627920425795,0.0849201733505034,1.60365150636869e-25,7.60573200641208e-23
"30","ENSG00000065911","MTHFD2",599.05792330458,1.3112564908071,0.13587903720973,4.22529086822665e-25,1.93715502005298e-22
"31","ENSG00000268621","IGFL2-AS1",526.496741083615,-1.14257211603746,0.116595438012951,4.94589617916234e-25,2.19438245316771e-22
"32","ENSG00000173267","SNCG",1829.06635095228,-1.09819034967843,0.112715604621418,1.43678809405278e-24,6.17549482675062e-22
"33","ENSG00000101224","CDC25B",1182.65544392224,0.870557958013722,0.0879793667931989,2.79210636219231e-24,1.16371608804827e-21
"34","ENSG00000147889","CDKN2A",122.168342194724,-2.32666378094737,0.237548025724797,5.6142622045147e-24,2.27113418708515e-21
"35","ENSG00000105289","TJP3",293.282918202358,-1.96340750632908,0.204002484170423,1.15495410296758e-23,4.53863963777602e-21
"36","ENSG00000105825","TFPI2",1345.13010213847,1.09461492454145,0.116111287535351,3.18017926616395e-23,1.21500515630053e-20
"37","ENSG00000167653","PSCA",2753.25062730302,-1.79943330738504,0.191623039612161,3.31828086598565e-23,1.23350364948018e-20
"38","ENSG00000107099","DOCK8",370.039238041538,-1.28557604694558,0.14073873715478,7.06527858749974e-23,2.55725899190714e-20
"39","ENSG00000103257","SLC7A5",17312.3453032675,0.745434945157801,0.0778215517358642,1.13974838571631e-22,4.01951264029286e-20
"40","ENSG00000117054","ACADM",1002.74153698585,-0.94987530018208,0.100908750059849,1.61666888856259e-22,5.55891597332246e-20
"41","ENSG00000149212","SESN3",368.800037220848,-1.48383252253283,0.16560448936705,2.10192784594263e-22,7.05119892514511e-20
"42","ENSG00000107731","UNC5B",1424.85045059452,-1.05025285363107,0.113445739058354,2.57596139560474e-22,8.43566024646372e-20
"43","ENSG00000171848","RRM2",1606.99147919421,1.00355614114018,0.10791151924069,2.832334444809e-22,9.05951812881464e-20
"44","ENSG00000179222","MAGED1",935.913641694801,-0.897344381086404,0.0957023634496084,3.53254371902115e-22,1.1042410525322e-19
"45","ENSG00000242265","PEG10",55.9879066547708,2.92100391271272,0.319032735851077,1.02624992187782e-21,3.136675872335e-19
"46","ENSG00000143476","DTL",206.915511562724,1.45562729121346,0.166535333039798,1.46347481063753e-21,4.3757896838062e-19
