Geneid,control_a,control_b,control_c,ko_a,ko_b,ko_c,oe_a,oe_b,oe_c
ENSG00000000003,300,338,329,611,611,512,277,246,493
ENSG00000000005,0,0,0,0,0,0,0,0,2
ENSG00000000419,825,877,715,913,987,723,808,922,1533
ENSG00000000457,100,92,82,73,75,31,63,58,79
ENSG00000000460,122,98,89,98,102,82,106,194,230
ENSG00000000938,2,0,0,2,0,2,0,0,0
ENSG00000000971,86,113,119,346,313,235,112,144,198
ENSG00000001036,422,388,357,477,507,329,525,539,770
ENSG00000001084,912,911,917,665,724,490,817,883,1256
ENSG00000001167,210,220,215,158,178,124,270,288,367
ENSG00000001460,184,192,201,154,137,101,223,222,318
ENSG00000001461,2019,1779,1871,1638,1919,1124,1724,1492,2077
ENSG00000001497,520,560,536,373,384,248,658,701,1025
ENSG00000001561,2,0,6,2,4,0,0,0,0
ENSG00000001617,3792,4089,3778,2770,3007,1743,3443,3400,4726
ENSG00000001626,0,0,0,0,0,0,0,0,0
ENSG00000001629,976,945,885,609,801,409,790,898,1081
ENSG00000001630,71,80,88,68,87,40,80,77,137
ENSG00000001631,65,53,82,37,39,42,50,77,102
ENSG00000002016,74,72,76,52,50,24,51,59,90
ENSG00000002079,2,10,12,1,0,4,8,7,12
ENSG00000002330,140,166,114,141,178,96,151,150,246
ENSG00000002549,559,548,467,559,556,364,455,523,787
ENSG00000002586,1375,1480,1320,1322,1440,828,1698,1867,2919
ENSG00000002587,48,34,41,20,27,16,50,71,68
ENSG00000002726,27,24,20,100,116,61,2,6,2
ENSG00000002745,0,2,0,2,10,4,0,0,0
ENSG00000002746,4,0,2,4,0,0,4,6,7
ENSG00000002822,1,6,1,3,2,0,1,7,10
ENSG00000002834,6288,6745,6189,5266,4804,3201,5543,5797,7269
ENSG00000002919,169,196,156,196,226,169,168,191,274
ENSG00000002933,0,0,0,0,0,0,0,0,0
ENSG00000003056,866,835,768,985,991,673,828,931,1288
ENSG00000003096,69,72,57,93,101,43,48,73,78
ENSG00000003137,27,29,32,18,18,14,34,34,60
ENSG00000003147,5,10,16,8,0,9,0,6,4
ENSG00000003249,148,171,161,101,106,79,90,128,136
ENSG00000003393,387,424,426,262,288,193,409,561,566
ENSG00000003400,96,122,126,72,92,64,81,73,96
ENSG00000003402,1168,1196,1081,463,516,370,1095,1006,1228
ENSG00000003436,24,25,20,123,171,114,41,54,18
ENSG00000003509,154,162,130,140,160,122,124,129,193
ENSG00000003756,305,369,289,183,207,139,309,344,532
ENSG00000003987,8,4,8,4,9,7,4,6,17
ENSG00000003989,42,32,45,20,18,16,92,113,127
ENSG00000004059,770,773,678,1102,1244,799,726,733,1378
ENSG00000004139,1,0,2,2,3,0,0,4,0
ENSG00000004142,1214,1237,1261,1388,1333,925,1098,1325,1959
ENSG00000004399,2,0,6,4,2,6,8,6,10
ENSG00000004455,1726,1608,1619,1795,2004,1391,1693,1934,3213
ENSG00000004468,0,0,0,0,0,0,0,0,0
ENSG00000004478,1227,1149,1175,1122,1146,804,1367,1635,2560
ENSG00000004487,2086,2264,2114,2117,2186,1467,2170,2295,3318
ENSG00000004534,432,477,430,153,203,142,516,523,723
ENSG00000004660,51,45,26,24,22,22,42,54,78
ENSG00000004700,378,338,348,246,325,188,420,449,569
ENSG00000004766,317,306,243,251,359,214,265,243,337
ENSG00000004776,0,1,0,0,0,0,2,1,0
ENSG00000004777,16,32,31,15,16,16,68,77,66
ENSG00000004779,391,388,347,596,597,484,342,334,718
ENSG00000004799,0,2,7,0,8,0,0,0,0
ENSG00000004809,0,0,0,0,0,0,0,0,0
ENSG00000004838,1,0,4,4,0,7,4,3,6
ENSG00000004846,0,0,0,0,0,1,0,0,0
ENSG00000004848,0,0,0,0,0,0,0,0,2
ENSG00000004864,310,513,413,372,373,300,506,606,899
ENSG00000004866,175,186,116,112,140,88,148,150,216
ENSG00000004897,925,780,752,850,939,653,835,976,1119
ENSG00000004939,0,0,2,0,0,0,0,0,0
ENSG00000004948,0,0,0,0,0,0,0,0,0
ENSG00000004961,324,297,342,497,471,319,286,307,507
ENSG00000004975,364,438,420,350,299,192,510,509,715
ENSG00000005001,276,270,234,176,231,146,204,163,239
ENSG00000005007,2814,3100,2944,1519,1643,946,2891,3152,3881
ENSG00000005020,731,713,734,1074,1204,823,551,544,712
ENSG00000005022,3292,3455,3023,5727,6235,4084,3082,3243,5711
ENSG00000005059,267,251,221,310,358,274,332,314,622
ENSG00000005073,12,16,18,11,5,10,13,22,20
ENSG00000005075,242,235,214,388,343,225,237,241,536
ENSG00000005100,412,450,373,212,266,189,401,537,703
ENSG00000005102,0,0,0,0,0,0,1,4,2
ENSG00000005108,0,0,0,0,0,0,0,0,0
ENSG00000005156,174,223,218,89,121,67,277,353,470
ENSG00000005175,266,271,273,232,148,154,263,392,506
ENSG00000005187,7,4,19,7,13,2,10,5,7
ENSG00000005189,50,45,48,52,59,52,58,44,101
ENSG00000005194,406,469,382,501,614,414,389,400,716
ENSG00000005206,251,251,189,120,162,103,149,227,320
ENSG00000005238,515,467,466,432,456,255,440,484,641
ENSG00000005243,18,21,31,22,33,18,20,32,49
ENSG00000005249,0,0,0,0,2,0,0,2,0
ENSG00000005302,170,235,185,192,216,123,163,199,252
ENSG00000005339,550,619,593,238,312,174,672,765,822
ENSG00000005379,0,0,0,3,0,0,0,0,0
ENSG00000005381,0,0,0,0,0,0,0,0,0
ENSG00000005421,0,0,0,0,0,0,0,0,0
ENSG00000005436,126,120,97,108,142,70,132,139,181
ENSG00000005448,398,326,304,457,465,342,327,347,688
